index,core-mof-id
161,2019[Nd][pcu]3[ASR]1
162,2019[Lu][pcu]3[ASR]1
163,2019[La][pcu]3[ASR]2
164,2019[Dy][pcu]3[ASR]1
165,2019[Lu][pcu]3[ASR]2
166,2019[Nd][pcu]3[ASR]2
167,2019[Co][nan]3[ASR]3
168,2019[Co][jaj]3[ASR]1
169,2019[Fe][fmz]3[ASR]1
170,2019[Zr][pts]3[ASR]1
171,0000[Zn][nan]3[ASR]1
172,2020[Zn][nan]3[ASR]3
173,2019[La][sql]2[ASR]1
174,2019[Ce][sql]2[ASR]1
175,2019[Nd][sql]2[ASR]1
176,2020[Mn][nan]3[ASR]1
177,2020[Zn][nan]3[ASR]4
178,2020[Cd][pcu]3[ASR]1
179,2010[Cu][nbo]3[ASR]1
180,2020[Cu][nan]3[ASR]1
181,2020[Mn][nan]3[ASR]2
182,2011[Cd][pts]3[ASR]1
183,2011[Zn][nan]3[ASR]1
184,2011[Zn][nan]3[ASR]2
185,2011[Zn][nan]3[ASR]3
186,2011[Eu][pcu]3[ASR]1
187,2021[V][nan]3[ASR]1
188,2021[V][nan]3[ASR]2
189,2021[V][nan]3[ASR]3
190,2021[V][nan]3[ASR]4
191,2021[V][nan]3[ASR]5
192,2021[V][nan]3[ASR]6
193,2021[V][nan]3[ASR]7
194,2021[V][nan]3[ASR]8
195,2021[V][nan]3[ASR]9
196,2021[V][nan]3[ASR]10
197,2021[V][nan]3[ASR]11
198,2021[V][nan]3[ASR]12
199,2021[V][nan]3[ASR]13
200,2021[Fe][nan]3[ASR]1
201,2021[In][nan]3[ASR]1
202,2011[Zn][dia]3[ASR]1
203,2017[Zn][esg]3[ASR]1
204,2016[Zn][nan]3[ASR]1
205,2016[Cu][bey]2[ASR]1
206,2020[Cu][eea]3[ASR]1
207,2018[Zn][sql]2[ASR]1
208,2020[CuMo][pcu]3[ASR]1
209,2016[In][nan]3[ASR]3
210,2016[In][bpq]3[ASR]1
211,2020[Co][fes]2[ASR]1
212,2011[La][fsc]3[ASR]1
213,2010[Co][sqc]3[ASR]1
214,2024[Ni][sql]2[ASR]1
215,2024[Ni][sql]2[ASR]2
216,2011[Cu][lvt]3[ASR]1
217,2011[Cu][lvt]3[ASR]2
218,2010[Cu][nan]3[ASR]1
219,2010[Zn][bnn]3[ASR]1
220,2020[Mn][sql]2[ASR]1
221,2020[Cd][sql]2[ASR]1
222,2018[Eu][nan]3[ASR]1
223,2019[Zn][dia]3[ASR]1
224,2019[Ni][gra]3[ASR]1
225,2020[Tb][hcb]2[ASR]1
226,0000[Mn][nbo]3[ASR]1
227,2016[Eu][nan]3[ASR]1
228,2016[Tb][nan]3[ASR]2
229,2016[La][nan]3[ASR]1
230,2016[Tb][nan]3[ASR]3
231,2016[La][nan]3[ASR]2
232,2016[La][nan]3[ASR]3
233,2014[Zn][unj]3[ASR]1
234,2010[Zn][dia]3[ASR]1
235,2003[Zn][pts]3[ASR]1
236,2011[Ag][nan]3[ASR]1
237,2021[Eu][fcu]3[ASR]1
238,2016[Co][the]3[ASR]1
239,2016[Co][the]3[ASR]2
240,2016[Ni][nan]3[ASR]1
241,2016[Ni][nan]3[ASR]2
242,2016[Cu][tfw]2[ASR]1
243,2016[Cu][tfw]2[ASR]2
244,2016[Ni][nan]3[ASR]3
245,2016[Cu][tfw]2[ASR]3
246,2016[Cd][ant]3[ASR]1
247,2017[NiNb][pcu]3[ASR]1
248,2017[NiNb][pcu]3[ASR]2
249,2016[NiNb][pcu]3[ASR]1
250,2017[Co][dia]3[ASR]1
251,2017[Ni][dia]3[ASR]1
252,2017[Zn][dia]3[ASR]2
253,2021[Cd][gra]3[ASR]1
254,2003[Cd][pcu]3[ASR]1
255,2021[Eu][nan]3[ASR]1
256,2010[Cd][flu]3[ASR]1
257,2021[Zn][pcu]3[ASR]2
258,0000[Co][pcu]3[ASR]1
259,2016[Co][pcu]3[ASR]1
260,2016[Co][pcu]3[ASR]2
261,2010[Cd][nan]3[ASR]3
262,2016[Th][bcu]3[ASR]1
263,0000[Cd][tfw]3[ASR]1
264,2016[Cd][nan]3[ASR]1
265,2016[Zn][nan]3[ASR]2
266,2017[CuSi][ssa]3[ASR]1
267,2016[Cd][nan]3[ASR]2
268,2016[Zn][nan]3[ASR]3
269,2016[Zn][ssa]3[ASR]1
270,2016[Cu][ssa]3[ASR]1
271,0000[Er][nan]3[ASR]1
272,2004[Mn][dia]3[ASR]1
273,2004[Mn][dia]3[ASR]2
274,2008[Mn][dia]3[ASR]1
275,2014[Mn][dia]3[ASR]1
276,2004[Mn][dia]3[ASR]3
277,2004[Mn][dia]3[ASR]4
278,2021[Ce][nan]3[ASR]1
279,2016[Tb][ant]3[ASR]1
280,2016[Tb][ths]3[ASR]1
281,2011[Cd][flu]3[ASR]1
282,2016[Zn][cds]3[ASR]1
283,2016[Cd][nan]3[ASR]3
284,2004[V][nan]3[ASR]1
285,2011[Zn][nan]3[ASR]5
286,2021[Zn][bex]2[ASR]1
287,2011[Zn][pcu]3[ASR]1
288,2015[Zn][pts]3[ASR]1
289,2016[In][unc]3[ASR]1
290,2016[Eu][tfz]3[ASR]1
291,2016[Ag][lvt]3[ASR]1
292,0000[Cu][tbo]3[ASR]1
293,2021[Zn][sql]2[ASR]1
294,0000[Cu][nan]3[ASR]1
295,2011[Ni][uki]3[ASR]1
296,2016[Zn][nan]3[ASR]4
297,2010[Cd][nan]3[ASR]4
298,2016[Zn][vbk]3[ASR]1
299,2016[Cd][nan]3[ASR]4
300,2016[Zn][nan]3[ASR]5
301,2021[Cd][nan]3[ASR]1
302,2016[Ho][nan]3[ASR]1
303,2016[Tm][nan]3[ASR]1
304,2017[IrHf][she]3[ASR]1
305,2011[Zn][flu]3[ASR]1
306,2011[Zn][sra]3[ASR]1
307,2011[Mn][nan]3[ASR]1
308,2011[Mg][nan]3[ASR]1
309,2004[Cu][pts]3[ASR]1
310,2004[Ag][pts]3[ASR]1
311,2004[Ag][pts]3[ASR]2
312,2004[Ag][pts]3[ASR]3
313,2017[Zn][nan]2[ASR]1
314,2010[Zr][sqc]3[ASR]1
315,2016[Zn][nan]3[ASR]6
316,2016[PrCu][nan]3[ASR]1
317,2011[Co][nan]3[ASR]1
318,2021[U][hcb]2[ASR]1
319,2011[Cd][sqc]3[ASR]1
320,2016[Zn][pcu]3[ASR]1
321,2016[Zn][pcu]3[ASR]2
322,2016[Lu][mog]3[ASR]1
323,2021[La][sql]2[ASR]1
324,2011[AgSm][rtl]3[ASR]1
325,2021[Mn][nan]3[ASR]1
326,2004[La][nan]3[ASR]1
327,2011[Co][sit]3[ASR]1
328,2016[FeAu][fsc]3[ASR]1
329,2016[FeAu][fsc]3[ASR]2
330,2011[Zn][pcu]3[ASR]2
331,2011[Cd][nan]3[ASR]1
332,2016[Cd][eea]3[ASR]1
333,2016[Cd][nan]3[ASR]5
334,2016[Cd][nan]3[ASR]6
335,2021[Zn][rtl]3[ASR]1
336,2016[CuSi][pcu]2[ASR]1
337,2016[Cu][tbo]3[ASR]1
338,2017[Co][neb]3[ASR]1
339,2011[Zn][sra]3[ASR]2
340,2004[Zn][nan]3[ASR]1
341,2022[ZnCu][rtl]3[ASR]1
342,0000[Zn][rtl]3[ASR]1
343,2022[ZnCo][rtl]3[ASR]1
344,2019[Eu][nan]3[ASR]1
345,2015[Cd][pcu]3[ASR]1
346,2002[Cu][srs]3[ASR]1
347,2015[Sc][nan]3[ASR]1
348,2015[Sc][nan]3[ASR]2
349,2015[Sc][nan]3[ASR]3
350,2015[Sc][nan]3[ASR]4
351,2015[Sc][nan]3[ASR]5
352,2015[Zn][bcg]3[ASR]1
353,2014[Co][nan]3[ASR]1
354,2020[Mn][sql]2[ASR]2
355,2020[Zn][pcu]3[ASR]1
356,2001[Cu][kdd]3[ASR]1
357,2002[Cu][kdd]3[ASR]1
358,2002[Cu][kdd]3[ASR]2
359,2003[Cu][kdd]3[ASR]1
360,2003[Cu][kdd]3[ASR]2
361,2011[Ni][fsy]3[ASR]1
362,2011[Co][nan]3[ASR]2
363,2011[Co][rtl]3[ASR]1
364,2011[Co][nan]3[ASR]3
365,2017[Mg][nan]3[ASR]1
366,2021[Ni][ubo]3[ASR]1
367,2017[Cu][nan]3[ASR]1
368,2017[Cu][nan]3[ASR]2
369,2017[Cd][nan]3[ASR]2
370,2020[Ag][nan]3[ASR]1
371,2003[Zn][usf]3[ASR]1
372,2003[Co][usf]3[ASR]1
373,2003[Cu][usf]3[ASR]1
374,2003[Co][pts]3[ASR]1
375,2017[Tb][smc]3[ASR]1
376,2017[Zn][pcu]3[ASR]2
377,2010[DyAg][nan]3[ASR]1
378,2010[ErAg][nan]3[ASR]1
379,2010[AgSm][nan]3[ASR]1
380,2010[AgTb][nan]3[ASR]1
381,2010[HoAg][nan]3[ASR]1
382,2021[Ce][nbo]3[ASR]1
383,2021[Ce][nan]3[ASR]2
384,2021[Ce][nbo]3[ASR]2
385,2017[Zn][hcb]2[ASR]1
386,2022[CdPb][nan]3[ASR]1
387,2022[PbMn][nan]2[ASR]1
388,2022[CoPb][nan]3[ASR]1
389,2022[ZnPb][nan]2[ASR]1
390,2012[U][nan]3[ASR]1
391,2012[Mg][nan]3[ASR]1
392,2003[Ag][nan]3[ASR]1
393,2017[Zn][pcu]3[ASR]3
394,2017[Zn][hcb]2[ASR]2
395,2011[Cu][pto]3[ASR]1
396,2022[NiMn][nan]3[ASR]1
397,2017[Cd][pcu]3[ASR]2
398,2017[Zn][mab]3[ASR]1
399,2017[Zn][sql]3[ASR]1
400,2012[Ni][dia]3[ASR]1
401,2017[Co][hex]3[ASR]1
402,2012[FeZr][csq]3[ASR]1
403,2017[Zn][pcu]3[ASR]4
404,2012[Mn][nan]3[ASR]1
405,2012[Co][nan]3[ASR]2
406,2012[Mg][dia]2[ASR]1
407,2013[Zn][ant]3[ASR]1
408,2013[Zn][ant]3[ASR]2
409,2013[Zn][uni]3[ASR]1
410,2013[Zn][uni]3[ASR]2
411,2013[Zn][uni]3[ASR]3
412,2013[Zn][uni]3[ASR]4
413,2013[Zn][uni]3[ASR]5
414,2013[Zn][uni]3[ASR]6
415,2013[Zn][uni]3[ASR]7
416,2013[Zn][uni]3[ASR]8
417,2013[Zn][uni]3[ASR]9
418,2013[Zn][uni]3[ASR]10
419,2013[Ni][xmz]3[ASR]1
420,2013[Ni][xmz]3[ASR]2
421,2013[Ni][xmz]3[ASR]3
422,2013[Ni][xmz]3[ASR]4
423,2013[Co][xmz]3[ASR]1
424,2013[Cu][nan]3[ASR]2
425,0000[Zn][dia]3[ASR]1
426,0000[Ni][dia]3[ASR]1
427,0000[Ho][nan]3[ASR]2
428,2013[Zn][nan]3[ASR]1
429,2013[Cd][qtz]3[ASR]1
430,0000[Zr][bcu]3[ASR]1
431,2022[Zr][bcu]3[ASR]1
432,2018[ZnCd][nan]2[ASR]1
433,2018[ZnCd][nan]3[ASR]1
434,2018[ZnCd][nan]3[ASR]2
435,2013[Mn][nan]3[ASR]2
436,2004[Ni][nan]3[ASR]1
437,2004[Ni][nan]3[ASR]2
438,2018[Co][tfz]3[ASR]1
439,2013[Ni][twt]3[ASR]1
440,2013[Co][lvt]3[ASR]1
441,2013[Zn][dia]3[ASR]1
442,2018[Zn][crb]3[ASR]1
443,2013[Ni][nan]3[ASR]1
444,2023[Zn][kgd]2[ASR]1
445,2013[Yb][nia]3[ASR]1
446,2013[In][sod]3[ASR]1
447,2023[Fe][ths]3[ASR]1
448,2018[U][hcb]2[ASR]1
449,2018[U][ths]3[ASR]1
450,2018[Zn][hmc]3[ASR]1
451,2013[Co][nan]3[ASR]1
452,2018[Zr][pcu]3[ASR]1
453,2018[Zr][pcu]3[ASR]2
454,2018[Zr][pcu]3[ASR]3
455,2018[Zr][pcu]3[ASR]4
456,2018[Zr][pcu]3[ASR]5
457,2018[Zr][pcu]3[ASR]6
458,2018[Zr][pcu]3[ASR]7
459,2018[Zr][pcu]3[ASR]8
460,2018[Zr][pcu]3[ASR]9
461,2000[Cu][pts]3[ASR]1
462,2024[Cd][nan]3[ASR]1
463,2013[Cu][pto]3[ASR]1
464,2013[Zn][pto]3[ASR]1
465,2013[Mn][pto]3[ASR]1
466,2013[CuSi][nan]3[ASR]1
467,2013[ZnCo][flu]3[ASR]1
468,2014[Cu][nan]3[ASR]1
469,2023[NiW][sql]2[ASR]1
470,2023[NiMo][sql]2[ASR]1
471,2023[NiCr][sql]2[ASR]1
472,2014[Ce][nan]3[ASR]1
473,2014[Mn][nan]3[ASR]1
474,2013[Co][hex]3[ASR]1
475,2013[Ni][hex]3[ASR]1
476,2023[Co][fgl]3[ASR]1
477,2008[Co][tfz]3[ASR]1
478,2019[Cu][she]3[ASR]1
479,2014[La][nan]3[ASR]1
480,2014[Ce][nan]3[ASR]2
481,2008[Zn][etd]3[ASR]1
482,2014[Mn][nan]3[ASR]2
483,2014[Sm][nan]3[ASR]1
484,2014[Tb][nan]3[ASR]1
485,2019[Cd][nan]3[ASR]1
486,2018[Zn][ith]3[ASR]1
487,2018[Zn][ith]3[ASR]2
488,2014[Cu][tbo]3[ASR]1
489,2014[Zn][dmc]3[ASR]1
490,2014[Mn][pcu]3[ASR]1
491,2014[Zn][pcu]3[ASR]1
492,2019[Tb][nan]3[ASR]1
493,2019[Eu][nan]3[ASR]2
494,2019[Sm][nan]3[ASR]1
495,2019[Cd][nan]3[ASR]2
496,2019[Cu][sql]2[ASR]1
497,2019[Cd][sql]2[ASR]1
498,2009[Ni][ddi]3[ASR]1
499,2009[Ni][ddi]3[ASR]2
500,2008[Zn][nan]3[ASR]1
501,2022[Zn][nan]3[ASR]1
502,2014[Cu][pcu]3[ASR]1
503,2014[Eu][nan]3[ASR]1
504,2014[Co][nan]3[ASR]2
505,2014[Co][nan]3[ASR]3
506,2009[Zn][dia]3[ASR]1
507,2009[Cu][pcu]3[ASR]1
508,2014[Zn][nan]2[ASR]1
509,2014[Zn][utp]3[ASR]1
510,2014[Zn][nan]2[ASR]2
511,2009[Cu][nbo]3[ASR]1
512,2020[Zn][tfc]3[ASR]1
513,0000[Mn][ant]3[ASR]1
514,0000[Cd][deh]3[ASR]1
515,2019[Cd][kgd]2[ASR]1
516,2019[Cd][ant]3[ASR]1
517,2015[Zn][nan]3[ASR]1
518,2015[Zn][lon]3[ASR]1
519,2015[PbTb][nan]3[ASR]1
520,0000[NiFe][bcu]3[ASR]1
521,2015[Zn][nan]3[ASR]2
522,2015[Zn][nan]3[ASR]3
523,2015[Co][nan]3[ASR]1
524,2009[Zn][pcu]3[ASR]1
525,2020[Co][sql]2[ASR]1
526,2020[La][nan]2[ASR]1
527,2020[La][tfz]3[ASR]1
528,2009[Gd][rtl]3[ASR]1
529,2020[Cd][nan]3[ASR]1
530,2020[Zn][hcb]2[ASR]1
531,2009[Zn][srs]3[ASR]1
532,2014[Zn][srs]3[ASR]1
533,2014[Zn][pcu]3[ASR]2
534,2014[Zn][pcu]3[ASR]3
535,2014[Zn][pcu]3[ASR]4
536,2014[Zn][pcu]3[ASR]5
537,2015[Tb][nan]3[ASR]1
538,2015[Zr][csq]3[ASR]1
539,2020[U][hcb]2[ASR]1
540,2020[Zn][sra]3[ASR]1
541,2020[Zn][sra]3[ASR]2
542,2020[Zn][sra]3[ASR]3
543,2020[Zn][nan]3[ASR]5
544,2010[Co][nan]3[ASR]2
545,2009[DyCu][nan]3[ASR]1
546,2009[CuSm][nan]3[ASR]1
547,2020[Cd][dia]3[ASR]1
548,2009[Al][nan]3[ASR]1
549,2009[Cu][pcu]3[ASR]2
550,2015[Cd][pcu]3[ASR]2
551,2015[Nd][fgl]3[ASR]1
552,2015[Pr][nan]3[ASR]1
553,2014[Tb][nan]3[ASR]2
554,2010[Fe][nbo]3[ASR]1
555,2010[Fe][nbo]3[ASR]2
556,2010[Fe][nbo]3[ASR]3
557,2010[Fe][nbo]3[ASR]4
558,2010[Fe][nbo]3[ASR]5
559,2010[Cu][nan]3[ASR]2
560,2015[Zn][nan]3[ASR]5
561,2015[Cd][nan]3[ASR]2
562,2015[Zn][sql]2[ASR]1
563,2015[Zn][sql]2[ASR]2
564,2015[Co][hcb]2[ASR]1
565,2015[Cd][nan]2[ASR]1
566,2015[Zn][nan]2[ASR]1
567,2015[InAg][sql]2[ASR]1
568,2016[Zn][acs]3[ASR]1
569,2016[Zn][hcb]2[ASR]1
570,2015[DyCo][hcb]2[ASR]1
571,2015[HoCo][hcb]2[ASR]1
572,2015[ErCo][hcb]2[ASR]1
573,2015[CoTm][hcb]2[ASR]1
574,2015[Ag][nan]2[ASR]1
575,2015[Cu][pcu]2[ASR]1
576,2015[Zn][sql]2[ASR]3
577,2015[Zn][sql]2[ASR]4
578,2015[Zn][pcu]3[ASR]1
579,2015[Co][nan]2[ASR]1
580,2015[Pr][hcb]2[ASR]1
581,2016[Ag][nan]3[ASR]1
582,2016[Ag][nan]3[ASR]2
583,2016[Sm][kgd]2[ASR]1
584,2016[Eu][kgd]2[ASR]1
585,2016[Gd][kgd]2[ASR]1
586,2016[Zn][nan]3[ASR]7
587,2016[Co][ant]3[ASR]1
588,2016[Cu][nan]2[ASR]1
589,2016[Zn][sql]2[ASR]1
590,2016[Co][sql]2[ASR]1
591,2015[Zr][fcu]3[ASR]1
592,2015[Co][sql]2[ASR]1
593,2015[Zn][nan]2[ASR]2
594,2015[Cd][nan]3[ASR]3
595,0000[Er][lcy]3[ASR]1
596,0000[Lu][lcy]3[ASR]1
597,2015[Zn][kgd]2[ASR]1
598,2015[Zn][bey]2[ASR]1
599,2015[Nd][nan]3[ASR]1
600,2015[Sm][nan]3[ASR]1
601,2015[Eu][nan]3[ASR]1
602,2015[Cd][sql]2[ASR]1
603,2015[Ni][sql]2[ASR]1
604,2015[Cu][sql]2[ASR]1
605,2015[Mn][sql]2[ASR]1
606,2016[Fe][hcb]2[ASR]1
607,2016[Mg][hcb]2[ASR]1
608,0000[In][ctn]3[ASR]1
609,2016[Co][sql]2[ASR]2
610,2015[Zn][pcu]3[ASR]2
611,2015[Eu][nan]3[ASR]2
612,2016[Cd][kgd]2[ASR]1
613,2016[Mn][nan]3[ASR]1
614,2017[Cu][nan]3[ASR]3
615,2017[Cu][nan]3[ASR]4
616,2017[CuSi][pcu]3[ASR]1
617,2016[Cu][hcb]2[ASR]1
618,2016[Zn][dia]3[ASR]1
619,2016[Co][nan]3[ASR]1
620,2016[Cd][nan]3[ASR]7
621,2016[Zn][nan]2[ASR]1
622,2017[Co][hcb]2[ASR]1
623,2017[Cu][hcb]2[ASR]1
624,2017[Cd][hcb]2[ASR]1
625,2017[ZnSi][nan]3[ASR]1
626,2016[Co][sql]2[ASR]3
627,2016[Co][sql]2[ASR]4
628,2016[La][sql]2[ASR]1
629,2017[Tm][nan]3[ASR]1
630,2017[Er][nan]3[ASR]1
631,2017[Zn][sql]2[ASR]2
632,2017[Zn][nan]2[ASR]2
633,2017[Co][sql]2[ASR]1
634,2017[Cd][nan]3[ASR]3
635,2017[FeCr][hcb]2[ASR]1
636,2017[CuEu][sql]2[ASR]1
637,2017[Co][sql]2[ASR]2
638,2017[CdSi][nan]3[ASR]1
639,2017[Zn][nan]3[ASR]1
640,2017[Fe][nan]3[ASR]1
641,2017[In][sea]3[ASR]1
642,2017[Zn][crb]3[ASR]1
643,2016[Cd][nan]3[ASR]8
644,2016[Zn][kgd]2[ASR]1
645,2017[Eu][kgd]2[ASR]1
646,2017[Cd][sql]2[ASR]3
647,2017[Zn][lon]3[ASR]1
648,2017[Cd][lon]3[ASR]1
649,2017[V][nan]3[ASR]1
650,2017[Eu][nan]3[ASR]2
651,2017[Cu][nan]3[ASR]5
652,2017[Cu][nan]3[ASR]6
653,2016[Zn][nan]2[ASR]2
654,2017[Co][nan]3[ASR]2
655,2017[Tb][nan]3[ASR]1
656,2017[Zn][nan]3[ASR]2
657,2017[Cu][sqp]2[ASR]1
658,2017[Cd][sql]2[ASR]4
659,2017[Tb][nan]3[ASR]2
660,2017[Zn][sql]3[ASR]2
661,2017[Zn][dia]3[ASR]3
662,2017[Zn][dia]3[ASR]4
663,2017[Zn][dia]3[ASR]5
664,2017[Zn][pcu]3[ASR]5
665,2018[CeZn][she]3[ASR]1
666,2018[Ce][csq]3[ASR]1
667,2018[Ce][scu]3[ASR]1
668,2019[GaCu][agw]3[ASR]1
669,2017[Cu][sql]2[ASR]1
670,2017[Cd][kgd]2[ASR]1
671,2017[Ce][pts]3[ASR]1
672,2017[CuAsMo][nan]2[ASR]1
673,2017[Co][tfz]3[ASR]1
674,2017[Zn][sod]3[ASR]1
675,2017[Yb][mog]3[ASR]1
676,2017[Cd][dia]3[ASR]2
677,2017[Cd][sql]2[ASR]5
678,2017[Zn][unc]3[ASR]1
679,2017[Tb][nan]3[ASR]3
680,2017[Cu][nan]3[ASR]7
681,2017[Zn][nan]3[ASR]4
682,2017[Ni][sql]2[ASR]1
683,2017[Ni][sql]2[ASR]2
684,2017[Zn][nan]3[ASR]5
685,2018[Cu][sql]2[ASR]1
686,2017[Mn][hxl]2[ASR]1
687,2017[Mn][hxl]2[ASR]2
688,2017[Mn][hxl]2[ASR]3
689,2017[Mn][sql]2[ASR]1
690,2017[Mn][hxl]2[ASR]4
691,2017[Mn][sql]2[ASR]2
692,2017[Mn][sql]2[ASR]3
693,2018[Cd][nan]3[ASR]5
694,2018[Co][fsc]3[ASR]1
