Density (g/cm3),Gravimetric Surfcae Area (m2/g),Volumetric Surface Area (m2/cm3),Void Fraction,Pore Volume (cm3/g),Largest Cavity Diameter (Å),Pore Limiting Diameter (Å)
1.66,1098,1439,0.09,0.28,11.1,10.6
0.37,4857,1814,0.91,2.31,20.9,10.6
1.22,1205,1480,0.72,0.54,11.4,10.6
0.89,1264,1117,0.61,0.76,17.8,10.6
0.53,3817,2009,0.84,1.53,13,10.5
1.15,1272,1459,0.7,0.55,11.3,10.5
1.29,1122,1447,0.69,0.5,11.4,10.5
1.01,1767,1777,0.78,0.79,18.9,10.5
0.88,1256,1118,0.61,0.77,17.7,10.5
1.19,937,1119,0.55,0.49,10.9,10.5
0.99,1349,1329,0.53,0.63,12.5,10.5
0.58,3549,2042,0.84,1.36,15.9,10.5
0.8,1099,879,0.49,0.78,14.8,10.5
0.46,4037,1856,0.84,1.74,15.5,10.5
0.51,3168,1625,0.8,1.56,19.8,10.5
0.88,1399,1234,0.56,0.75,10.5,10.5
1.08,636,684,0.35,0.5,10.5,10.5
0.79,1622,1282,0.66,0.88,18.1,10.4
1.83,601,1100,0.66,0.31,10.6,10.4
0.52,3330,1722,0.84,1.54,21.6,10.4
1.11,612,679,0.35,0.49,10.4,10.3
0.65,2749,1793,0.73,1.12,11,10.3
1.08,1224,1317,0.5,0.6,12.2,10.3
0.78,2256,1749,0.65,0.88,11.3,10.3
0.99,1235,1223,0.52,0.62,10.4,10.3
0.34,5145,1735,0.9,2.57,26.3,10.3
0.79,1943,1536,0.71,0.85,11.3,10.3
0.79,1937,1531,0.71,0.85,11.3,10.2
0.89,1372,1227,0.56,0.73,10.4,10.2
