coreid,refcode,Density,GSA,VSA,PV,VF,LCD,PLD
2023[Sc][nan]3[FSR]8,d2cc04649k2_3_FSR_pacman,1.24295,0,0,0.394868,0.4908,3.96442,3.00412
2023[Sc][nan]3[FSR]7,d2cc04649k2_2_FSR_pacman,1.24332,0,0,0.394589,0.4906,3.9617,3.00417
2023[Sc][nan]3[FSR]6,d2cc04649k2_17_FSR_pacman,1.24511,0,0,0.395146,0.492,3.98646,2.99827
2023[Sc][nan]3[FSR]5,d2cc04649k2_13_FSR_pacman,1.24421,0,0,0.394469,0.4908,3.96899,2.9981
2023[Sc][nan]3[FSR]4,d2cc04649k2_12_FSR_pacman,1.24158,0,0,0.395948,0.4916,3.9837,3.00472
2023[Sc][nan]3[FSR]3,d2cc04649k2_11_FSR_pacman,1.24179,0,0,0.395397,0.491,3.98093,3.00464
2023[Sc][nan]3[FSR]2,d2cc04649k2_10_FSR_pacman,1.24405,0,0,0.39468,0.491,3.96193,2.99976
2023[Sc][nan]3[FSR]13,d2cc04649k2_9_FSR_pacman,1.24544,0,0,0.406926,0.5068,3.98541,2.9976
2023[Sc][nan]3[FSR]12,d2cc04649k2_7_FSR_pacman,1.24458,0,0,0.39419,0.4906,3.96091,3.00165
2023[Sc][nan]3[FSR]11,d2cc04649k2_6_FSR_pacman,1.2451,0,0,0.408001,0.508,3.97414,2.99527
2023[Sc][nan]3[FSR]10,d2cc04649k2_5_FSR_pacman,1.24359,0,0,0.407852,0.5072,3.97622,3.00153
2023[Sc][nan]3[FSR]1,d2cc04649k2_1_FSR_pacman,1.24223,0,0,0.395096,0.4908,3.96948,3.00871
2023[Sc][bpq]3[FSR]2,d3sc00904a2_4_FSR_pacman,0.933059,1704.57,1590.46,0.639831,0.597,5.90322,5.71238
2023[Sc][bpq]3[FSR]1,d3sc00904a2_14_FSR_pacman,0.951349,1624.62,1545.58,0.619121,0.589,5.96067,5.71458
2023[Ni][sql]2[FSR]1,d2se00527a2_FSR_pacman,1.38488,525.224,727.371,0.327105,0.453,4.27518,3.53473
2023[Ni][dia]3[FSR]1,d2ta06863j2_FSR_pacman,1.26015,773.583,974.831,0.399159,0.503,5.38628,3.79465
2023[Mn][nan]3[FSR]1,d2ta08977g2_FSR_pacman,1.15213,1172.47,1350.83,0.480153,0.5532,4.9101,4.18523
2023[Mg][nan]2[FSR]1,d2ce00163b2_2_FSR_pacman,1.09854,829.096,910.797,0.448413,0.4926,4.42085,3.6536
2023[La][pts]3[FSR]1,d2dt02340g2_1_FSR_pacman,1.31181,1202.09,1576.92,0.429787,0.5638,6.96387,6.52394
2023[In][neb]3[FSR]4,d1ta10569h2_4_FSR_pacman,0.734468,2541.81,1866.88,0.926112,0.6802,9.71385,7.00232
2023[In][neb]3[FSR]3,d1ta10569h2_3_FSR_pacman,0.745389,2518.83,1877.51,0.88759,0.6616,9.62876,6.94212
2023[In][neb]3[FSR]2,d1ta10569h2_2_FSR_pacman,0.737421,2542.29,1874.74,0.927557,0.684,9.69778,7.05768
2023[In][neb]3[FSR]1,d1ta10569h2_1_FSR_pacman,0.714631,3163.37,2260.64,0.963854,0.6888,8.37885,6.95387
2023[Ho][nan]3[FSR]1,d3ce00138e2_6_FSR_pacman,1.4019,481.265,674.683,0.33098,0.464,5.46027,3.67921
